Datetime,Tweet Id,Text,Username,lang
2021-12-13 23:55:10+00:00,1470542846109392898,"Former Brooklyn Center, Minnesota, police officer Kim Potter killed Daunte Wright by firing a single bullet to his chest, a county medical examiner testified at her criminal trial. https://t.co/R8456BF47U",CNN,en
2021-12-13 23:44:12+00:00,1470540084873244672,The Omicron variant of coronavirus is spreading quickly in several countries where it has been discovered. Even if it causes only mild disease — and that's far from certain — that could still mean many people end up in the hospital and dying. https://t.co/veufNbxEWA,CNN,en
2021-12-13 23:33:05+00:00,1470537290283982857,"Hundreds of millions of devices around the world could be exposed to a newly revealed software vulnerability, as a senior Biden administration cyber official warned executives from major US industries that they need to take action to address it https://t.co/biQ4CH4mnt",CNN,en
2021-12-13 23:22:50+00:00,1470534710669590529,"Defense Secretary Lloyd Austin has decided that no US military personnel will be punished over the August drone strike in Kabul that killed 10 civilians, including seven children. https://t.co/bXmDmI4ddd",CNN,en
2021-12-13 23:12:11+00:00,1470532029209104386,"After all these years, Bing Crosby still spurs our dreams of a ""White Christmas."" But a new data analysis suggests some of us are better off leaving that dream of snow on Christmas morning to the holiday classics. https://t.co/Nle5UBv2Id",CNN,en
2021-12-13 22:55:44+00:00,1470527887971336199,"The CDC has added three nations to its highest-risk category for travel, including tourist favorite Italy. https://t.co/RIVV0UXxyv",CNN,en
2021-12-13 22:35:34+00:00,1470522815514386433,"""That little $3 whistle is what saved us from having to spend a night out there.""

An early morning boat ride on the river was supposed to lead to a day of fishing but instead turned into hours of rescue attempts requiring a helicopter for two Texas men. https://t.co/TphKqPqn5V",CNN,en
2021-12-13 22:16:04+00:00,1470517906287042562,"Former Minneapolis police officer Derek Chauvin, convicted in April on state murder charges for killing George Floyd, is scheduled to appear at a change of plea hearing Wednesday in the federal civil rights case against him, according to court documents https://t.co/vaWJOjyY27",CNN,en
2021-12-13 22:01:04+00:00,1470514133099556864,"Victims of Larry Nassar, the former Olympic doctor who sexually abused girls for decades, have reached a $380 million settlement with USA Gymnastics, the US Olympic and Paralympic Committee and their insurers https://t.co/wKWZNmYd9N",CNN,en
2021-12-13 21:45:08+00:00,1470510122145300480,"Individual users, not tech platforms, shoulder the responsibility for the spread of misinformation online, according to a top exec at Meta, the company formerly known as Facebook. https://t.co/XETXnwD2FT",CNN,en
2021-12-13 21:33:28+00:00,1470507184933031950,Astronomers have found evidence of an ancient outburst from the supermassive black hole at the heart of the Milky Way. https://t.co/6nL6d9rKG2,CNN,en
2021-12-13 21:16:07+00:00,1470502819522301964,"The FBI is offering a reward for information regarding the death of Jelani Day, the Illinois State University student whose body was discovered in September. https://t.co/Lz3CFDop4R",CNN,en
